deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\mutant\distant_5_3949a199db	mutant	Amplified	ambient/soundscape/mutants/bloodsucker	distant_5	1.25
zs\mutant\distant_1_98e11405ad	mutant	Amplified	ambient/soundscape/mutants/boar	distant_1	1.0
zs\mutant\distant_2_45ef5d524e	mutant	Amplified	ambient/soundscape/mutants/boar	distant_2	1.0
zs\mutant\distant_3_0553e83742	mutant	Amplified	ambient/soundscape/mutants/boar	distant_3	1.0
zs\mutant\distant_4_6e072dd598	mutant	Amplified	ambient/soundscape/mutants/boar	distant_4	1.0
zs\mutant\distant_5_83807a2dd0	mutant	Amplified	ambient/soundscape/mutants/boar	distant_5	1.0
zs\mutant\distant_1_7a04f8fcb3	mutant	Amplified	ambient/soundscape/mutants/burer	distant_1	1.5
zs\mutant\distant_2_9ec73c1539	mutant	Amplified	ambient/soundscape/mutants/burer	distant_2	1.5
zs\mutant\distant_3_ef2f369a3c	mutant	Amplified	ambient/soundscape/mutants/burer	distant_3	1.5
zs\mutant\distant_4_60d0eaa6bc	mutant	Amplified	ambient/soundscape/mutants/burer	distant_4	1.5
zs\mutant\distant_5_e817a8c7a9	mutant	Amplified	ambient/soundscape/mutants/burer	distant_5	1.5
zs\mutant\distant_6_5b0a7f07bd	mutant	Amplified	ambient/soundscape/mutants/burer	distant_6	0.75
zs\mutant\distant_7_46844687d7	mutant	Amplified	ambient/soundscape/mutants/burer	distant_7	0.75
zs\mutant\distant_1_b381dce6b4	mutant	Amplified	ambient/soundscape/mutants/cat	distant_1	1.5
zs\mutant\distant_1b_3c91289edc	mutant	Amplified	ambient/soundscape/mutants/cat	distant_1b	1.0
zs\mutant\distant_2_ee2327e96c	mutant	Amplified	ambient/soundscape/mutants/cat	distant_2	1.0
zs\mutant\distant_2b_203b0de77a	mutant	Amplified	ambient/soundscape/mutants/cat	distant_2b	1.0
zs\mutant\distant_3_e28b6263f7	mutant	Amplified	ambient/soundscape/mutants/cat	distant_3	1.5
zs\mutant\distant_3b_d6f54d0e83	mutant	Amplified	ambient/soundscape/mutants/cat	distant_3b	1.0
zs\mutant\rnd_mutant_10_f83f39bc6a	mutant	DeadAir	ambient/rnd_outdoor	rnd_mutant_10	1.0
zs\mutant\distant_2_6fd2bdd06c	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_2	1.25
zs\mutant\distant_3_bec2cb90fe	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_3	1.25
zs\mutant\distant_4_5d8c922e3c	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_4	1.25
zs\mutant\distant_5_f61966e121	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_5	1.25
zs\mutant\distant_6_1855542352	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_6	1.25
zs\mutant\distant_7_d393a83d5c	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_7	1.25
zs\mutant\distant_8_acf4e60405	mutant	Amplified	ambient/soundscape/mutants/chimera	distant_8	1.25
zs\mutant\distant_1_d2c3cb537a	mutant	Amplified	ambient/soundscape/mutants/controller	distant_1	1.0
zs\mutant\distant_2_baba585230	mutant	Amplified	ambient/soundscape/mutants/controller	distant_2	1.0
zs\mutant\distant_3_9a331e2c64	mutant	Amplified	ambient/soundscape/mutants/controller	distant_3	1.0
zs\mutant\distant_4_721636fb50	mutant	Amplified	ambient/soundscape/mutants/controller	distant_4	1.0
zs\mutant\distant_5_cf56ac2ab9	mutant	Amplified	ambient/soundscape/mutants/controller	distant_5	1.0
zs\mutant\distant_6_b8db384bfb	mutant	Amplified	ambient/soundscape/mutants/controller	distant_6	1.0
zs\mutant\distant_7_ea81ff3857	mutant	Amplified	ambient/soundscape/mutants/controller	distant_7	1.0
zs\mutant\ambient_drone_10_c3fee9f203	mutant	Soundscape	monsters/controller	ambient_drone_10	0.75
zs\mutant\distant_2_d0334e67ca	mutant	Amplified	ambient/soundscape/mutants/dog	distant_2	1.25
zs\mutant\distant_3_f984089e4a	mutant	Amplified	ambient/soundscape/mutants/dog	distant_3	1.25
zs\mutant\distant_4_5b0a54c7a4	mutant	Amplified	ambient/soundscape/mutants/dog	distant_4	1.25
zs\mutant\distant_5_75882264c5	mutant	Amplified	ambient/soundscape/mutants/dog	distant_5	1.25
zs\mutant\distant_6_afd18bc618	mutant	Amplified	ambient/soundscape/mutants/dog	distant_6	1.25
zs\mutant\distant_7_5121eab723	mutant	Amplified	ambient/soundscape/mutants/dog	distant_7	1.25
zs\mutant\distant_8_51dbdfffaf	mutant	Amplified	ambient/soundscape/mutants/dog	distant_8	1.25
zs\mutant\distant_1_aebf1050b3	mutant	Amplified	ambient/soundscape/mutants/flesh	distant_1	1.25
zs\mutant\distant_2_e117f49b72	mutant	Amplified	ambient/soundscape/mutants/flesh	distant_2	1.25
zs\mutant\distant_3_5950c73979	mutant	Amplified	ambient/soundscape/mutants/flesh	distant_3	1.25
zs\mutant\distant_4_941843cb0c	mutant	Amplified	ambient/soundscape/mutants/flesh	distant_4	1.25
zs\mutant\distant_5_6e6d298ccc	mutant	Amplified	ambient/soundscape/mutants/flesh	distant_5	1.5
zs\mutant\distant_1_1ed0a77f0b	mutant	Amplified	ambient/soundscape/mutants/fracture	distant_1	1.5
zs\mutant\distant_2_43a3197cb0	mutant	Amplified	ambient/soundscape/mutants/fracture	distant_2	1.5
zs\mutant\distant_3_5cb1a40c06	mutant	Amplified	ambient/soundscape/mutants/fracture	distant_3	1.5
zs\mutant\distant_4_6675b1abb4	mutant	Amplified	ambient/soundscape/mutants/fracture	distant_4	1.5
zs\mutant\distant_5_7fbbee4feb	mutant	Amplified	ambient/soundscape/mutants/fracture	distant_5	1.5
zs\mutant\distant_6_5f379506aa	mutant	Amplified	ambient/soundscape/mutants/fracture	distant_6	1.5
zs\mutant\distant_1_9e10d4b175	mutant	Amplified	ambient/soundscape/mutants/giant	distant_1	1.0
zs\mutant\distant_2_9ee2139055	mutant	Amplified	ambient/soundscape/mutants/giant	distant_2	1.0
zs\mutant\distant_3_8e40f3c5c4	mutant	Amplified	ambient/soundscape/mutants/giant	distant_3	1.5
zs\mutant\distant_4_145ada0cca	mutant	Amplified	ambient/soundscape/mutants/giant	distant_4	1.5
zs\mutant\distant_5_93380ae0b0	mutant	Amplified	ambient/soundscape/mutants/giant	distant_5	1.5
zs\mutant\distant_1b_746761c489	mutant	Amplified	ambient/soundscape/mutants/lurker/back	distant_1b	1.25
zs\mutant\sound_28_ec08c77f74	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_28	1.0
zs\mutant\attack_2_ee707a00e7	mutant	Amplified	monsters/lurker	attack_2	1.0
zs\mutant\distant_2_lurk_b43b7c1bbb	mutant	Amplified	ambient/soundscape/mutants/lurker/back	distant_2 lurk	1.25
zs\mutant\distant_2_fd0eb4fda7	mutant	Amplified	ambient/soundscape/mutants/lurker	distant_2	1.25
zs\mutant\distant_2b_ec08ee57ac	mutant	Amplified	ambient/soundscape/mutants/lurker/back	distant_2b	1.25
zs\mutant\attack_3_fde30f9d31	mutant	Amplified	monsters/lurker	attack_3	1.0
zs\mutant\distant_1_c583e81830	mutant	Amplified	ambient/soundscape/mutants/lurker	distant_1	1.25
zs\mutant\distant_3_2c36e8a69d	mutant	Amplified	ambient/soundscape/mutants/lurker	distant_3	1.25
zs\mutant\distant_4_5c9f22b35c	mutant	Amplified	ambient/soundscape/mutants/lurker	distant_4	1.25
zs\mutant\olddistant_1_08adb5f7f8	mutant	Amplified	ambient/soundscape/mutants/lurker	olddistant_1	1.25
zs\mutant\distant_1_c4e7a0dbf4	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_1	1.5
zs\mutant\distant_2_76c3610a1b	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_2	1.5
zs\mutant\distant_3_872d6a4136	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_3	1.5
zs\mutant\distant_4_4be0e75a0e	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_4	1.5
zs\mutant\distant_5_d7147e4e8e	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_5	1.5
zs\mutant\distant_6_842024be7f	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_6	1.5
zs\mutant\distant_7_3814bd06aa	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_7	1.5
zs\mutant\distant_8_2348a89be0	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_8	1.5
zs\mutant\distant_2_bb7663e404	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_2	1.25
zs\mutant\distant_9_bcae4a31b7	mutant	Amplified	ambient/soundscape/mutants/poltergeist	distant_9	1.5
zs\mutant\distant_1_4a0f1d3b5c	mutant	Amplified	ambient/soundscape/mutants/psysucker	distant_1	1.25
zs\mutant\distant_2_043c7b1172	mutant	Amplified	ambient/soundscape/mutants/psysucker	distant_2	1.25
zs\mutant\distant_3_93fa00553d	mutant	Amplified	ambient/soundscape/mutants/psysucker	distant_3	1.25
zs\mutant\distant_5_77591178e2	mutant	Amplified	ambient/soundscape/mutants/psysucker	distant_5	1.25
zs\mutant\distant_1b_1e787de294	mutant	Amplified	ambient/soundscape/mutants/snork/bck	distant_1b	1.0
zs\mutant\distant_2b_ae7a72a721	mutant	Amplified	ambient/soundscape/mutants/snork/bck	distant_2b	1.0
zs\mutant\distant_3b_0c9a5cb57d	mutant	Amplified	ambient/soundscape/mutants/snork/bck	distant_3b	1.0
zs\mutant\distant_4b_b27b2178fe	mutant	Amplified	ambient/soundscape/mutants/snork/bck	distant_4b	1.0
zs\mutant\distant_1_1a7e4e152d	mutant	Amplified	ambient/soundscape/mutants/snork	distant_1	1.5
zs\mutant\distant_2_642365be6c	mutant	Amplified	ambient/soundscape/mutants/snork	distant_2	1.5
zs\mutant\distant_3_8a2134d06f	mutant	Amplified	ambient/soundscape/mutants/snork	distant_3	1.5
zs\mutant\distant_4_07e2260055	mutant	Amplified	ambient/soundscape/mutants/snork	distant_4	1.5
zs\mutant\distant_1_621c045428	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_1	1.25
zs\mutant\distant_3_3eeb71a613	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_3	1.25
zs\mutant\distant_4_95f272f565	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_4	1.25
zs\mutant\distant_5_6630306f4e	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_5	1.25
zs\mutant\distant_6_f70ce57569	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_6	1.25
zs\mutant\distant_7_2a53409e99	mutant	Amplified	ambient/soundscape/mutants/zombie	distant_7	1.25
zs\mutant\sound_01_cf12079942	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_01	1.0
zs\mutant\sound_02_f0fc482dda	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_02	1.0
zs\mutant\sound_03_3ffa8f0c44	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_03	1.0
zs\mutant\sound_04_5ee3893b8a	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_04	1.0
zs\mutant\rnd_mutant_6_ea7a833b81	mutant	DeadAir	ambient/lar_ambients/af3	rnd_mutant_6	1.0
zs\mutant\sound_05_2d0825dac2	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_05	1.0
zs\mutant\sound_06_ac31e72fcd	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_06	1.0
zs\mutant\sound_07_8efc06ebb4	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_07	1.0
zs\mutant\sound_08_237cc2bc97	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_08	1.0
zs\mutant\sound_09_966d956d45	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_09	1.0
zs\mutant\sound_10_5be3561642	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_10	1.0
zs\mutant\sound_11_ea49e28729	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_11	1.0
zs\mutant\sound_12_5228628168	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_12	1.0
zs\mutant\sound_13_d208e51c4a	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_13	1.0
zs\mutant\sound_14_3954bb43d7	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_14	1.0
zs\mutant\sound_15_a5eddacbd2	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_15	1.0
zs\mutant\sound_16_f846d724c6	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_16	1.0
zs\mutant\sound_17_8972c9ed3d	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_17	1.0
zs\mutant\sound_18_914a2f092c	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_18	1.0
zs\mutant\rnd_mutant_5_9a3579c4bb	mutant	DeadAir	ambient/lar_ambients/af3	rnd_mutant_5	1.0
zs\mutant\sound_19_7af720746c	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_19	1.0
zs\mutant\sound_20_204fda49c8	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_20	1.0
zs\mutant\rnd_mutant_12_ad77d0cec9	mutant	DeadAir	ambient/lar_ambients/af3	rnd_mutant_12	1.0
zs\mutant\sound_21_573870f82d	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_21	1.0
zs\mutant\sound_22_b666a2ebd5	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_22	1.0
zs\mutant\sound_23_3e48dfb9fc	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_23	1.0
zs\mutant\sound_24_ba0684c016	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_24	1.0
zs\mutant\sound_25_cdae77859d	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_25	1.0
zs\mutant\sound_26_524424623e	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_26	1.0
zs\mutant\sound_27_f32a21f1ed	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_27	1.0
zs\mutant\sound_29_f720eac5b0	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_29	1.0
zs\mutant\sound_30_91abf1578c	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_30	1.0
zs\mutant\sound_31_be7664bbb6	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_31	0.8
zs\mutant\sound_32_db42f5ce66	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_32	1.0
zs\mutant\sound_33_c13575efec	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_33	1.0
zs\mutant\sound_34_a55a172c28	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_34	1.0
zs\mutant\giant_idle_3_3ce568da78	mutant	NLC	monsters/giant	giant_idle_3	1.0
zs\mutant\sound_35_6227820c96	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_35	1.0
zs\mutant\sound_36_daa3d488a1	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_36	1.0
zs\mutant\sound_37_e607106817	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_37	1.0
zs\mutant\sound_38_bdd6831a54	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_38	1.0
zs\mutant\sound_39_bd8457cf6f	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_39	1.0
zs\mutant\sound_40_20486be74e	mutant	Amplified	ambient/soundscape/underground/spooks_above/mutants	sound_40	1.0
zs\mutant\izlome_idle_3_1a33af1cf6	mutant	Amplified	monsters/biblio	izlome_idle_3	1.0
zs\mutant\distant_growl_2_4d7714e20e	mutant	Amplified	monsters/bloodsucker	distant_growl_2	1.0
zs\mutant\distant_growl_3_78157cfabc	mutant	Amplified	monsters/bloodsucker	distant_growl_3	1.0
zs\mutant\idle_0_9a33ab6c6c	mutant	Amplified	monsters/bloodsucker	idle_0	1.0
zs\mutant\idle_0_70094f5f9a	mutant	NLC	monsters/bloodsucker	idle_0	1.0
zs\mutant\idle_1_2ef04d737f	mutant	Amplified	monsters/bloodsucker	idle_1	1.0
zs\mutant\idle_2_6902673f48	mutant	Amplified	monsters/bloodsucker	idle_2	1.0
zs\mutant\idle_3_6a7151e676	mutant	Amplified	monsters/bloodsucker	idle_3	1.0
zs\mutant\idle_4_d8496d74ce	mutant	Amplified	monsters/bloodsucker	idle_4	1.0
zs\mutant\idle_5_d0d78b10aa	mutant	Amplified	monsters/bloodsucker	idle_5	1.0
zs\mutant\sucker_breath_mix_0_1d82f30468	mutant	Amplified	monsters/bloodsucker	sucker_breath_mix_0	0.75
zs\mutant\sucker_growl_0_8dd2b284a7	mutant	Amplified	monsters/bloodsucker	sucker_growl_0	1.2
zs\mutant\sucker_growl_2_b37bc6bd2e	mutant	Amplified	monsters/bloodsucker	sucker_growl_2	1.2
zs\mutant\sucker_growl_3_8c93c5e2a6	mutant	Amplified	monsters/bloodsucker	sucker_growl_3	1.2
zs\mutant\sucker_growl_4_4e5c4438f3	mutant	Amplified	monsters/bloodsucker	sucker_growl_4	1.2
zs\mutant\swamp_growl_1_3ee9a3cca1	mutant	Amplified	monsters/bloodsucker	swamp_growl_1	1.0
zs\mutant\swamp_growl_2_8ef8b59b83	mutant	Amplified	monsters/bloodsucker	swamp_growl_2	1.0
zs\mutant\boar_eat_0_6247cc3e9b	mutant	Amplified	monsters/boar	boar_eat_0	1.25
zs\mutant\boar_eat_1_88528cc4ee	mutant	Amplified	monsters/boar	boar_eat_1	1.25
zs\mutant\boar_eat_2_bb6a661b6f	mutant	Amplified	monsters/boar	boar_eat_2	1.25
zs\mutant\boar_eat_3_5d999fb2be	mutant	Amplified	monsters/boar	boar_eat_3	1.25
zs\mutant\boar_idle_0_c249cd72dc	mutant	Amplified	monsters/boar	boar_idle_0	1.0
zs\mutant\boar_idle_1_88a03d127e	mutant	Amplified	monsters/boar	boar_idle_1	1.0
zs\mutant\boar_idle_2_85653a344e	mutant	Amplified	monsters/boar	boar_idle_2	1.0
zs\mutant\boar_idle_3_bd9f2fcd4d	mutant	Amplified	monsters/boar	boar_idle_3	1.0
zs\mutant\burer_eat_0_34c3ff933d	mutant	Amplified	monsters/burer	burer_eat_0	1.0
zs\mutant\burer_eat_1_f39b36a678	mutant	Amplified	monsters/burer	burer_eat_1	1.0
zs\mutant\burer_idle_0_2202f2ae04	mutant	Amplified	monsters/burer	burer_idle_0	1.0
zs\mutant\burer_idle_1_7e71a6beec	mutant	Amplified	monsters/burer	burer_idle_1	1.0
zs\mutant\burer_idle_2_11cb386c17	mutant	Amplified	monsters/burer	burer_idle_2	1.0
zs\mutant\burer_idle_3_1990e4791a	mutant	Amplified	monsters/burer	burer_idle_3	1.0
zs\mutant\burer_idle_3_0125f60c54	mutant	Soundscape	monsters/burer	burer_idle_3	1.0
zs\mutant\c2_idle_1_6697552414	mutant	Amplified	monsters/cat	c2_idle_1	1.0
zs\mutant\c2_idle_2_909a3c3950	mutant	Amplified	monsters/cat	c2_idle_2	1.0
zs\mutant\c2_idle_3_49bb9e644d	mutant	Amplified	monsters/cat	c2_idle_3	1.0
zs\mutant\c_eat_0_6b4e00acb0	mutant	Amplified	monsters/cat	c_eat_0	0.75
zs\mutant\bdog_eat_0_78f5a2cff6	mutant	DeadAir	monsters/dog	bdog_eat_0	1.0
zs\mutant\bdog_eat_0_b63a077f65	mutant	NLC	monsters/dog	bdog_eat_0	1.0
zs\mutant\c_eat_1_8304aa2818	mutant	Amplified	monsters/cat	c_eat_1	0.75
zs\mutant\bdog_eat_1_96968a351e	mutant	NLC	monsters/dog	bdog_eat_1	1.0
zs\mutant\chimera_growl_1_861fce7819	mutant	Amplified	monsters/chimera	chimera_growl_1	2.0
zs\mutant\chimera_idle_1_3214bcedf9	mutant	Amplified	monsters/chimera	chimera_idle_1	1.5
zs\mutant\chimera_idle_2_031d371a8e	mutant	Amplified	monsters/chimera	chimera_idle_2	1.5
zs\mutant\chimera_idle_3_09762adfbc	mutant	Amplified	monsters/chimera	chimera_idle_3	1.5
zs\mutant\idle_1_ca799a3b00	mutant	Amplified	monsters/chimera	idle_1	1.0
zs\mutant\idle_2_eb6c9c0546	mutant	Amplified	monsters/chimera	idle_2	1.0
zs\mutant\ambient_drone_10_f1159b44a3	mutant	Amplified	monsters/controller	ambient_drone_10	2.0
zs\mutant\ambient_drone_8_ca6ca88795	mutant	Amplified	monsters/controller	ambient_drone_8	2.0
zs\mutant\ambient_drone_9_03d8d2ff5b	mutant	Amplified	monsters/controller	ambient_drone_9	2.0
zs\mutant\controller_idle_0_63976b026e	mutant	Amplified	monsters/controller	controller_idle_0	1.0
zs\mutant\controller_idle_1_263dacd005	mutant	Amplified	monsters/controller	controller_idle_1	1.0
zs\mutant\controller_idle_2_207dd9f763	mutant	Amplified	monsters/controller	controller_idle_2	1.0
zs\mutant\bdog_eat_2_3f191f1cba	mutant	Amplified	monsters/dog	bdog_eat_2	1.0
zs\mutant\bdog_growl_0_15224f4e60	mutant	Amplified	monsters/dog	bdog_growl_0	1.0
zs\mutant\bdog_growl_1_158764e43e	mutant	Amplified	monsters/dog	bdog_growl_1	1.0
zs\mutant\bdog_growl_1_157bfa8b7a	mutant	NLC	monsters/dog	bdog_growl_1	1.0
zs\mutant\bdog_growl_2_60f2149716	mutant	Amplified	monsters/dog	bdog_growl_2	1.0
zs\mutant\bdog_growl_0_cfef4cb139	mutant	NLC	monsters/dog	bdog_growl_0	1.0
zs\mutant\bdog_idle_0_238ce72ecf	mutant	Amplified	monsters/dog	bdog_idle_0	1.0
zs\mutant\bdog_idle_1_07dcd5144a	mutant	Amplified	monsters/dog	bdog_idle_1	1.0
zs\mutant\bdog_idle_2_d2487973f2	mutant	Amplified	monsters/dog	bdog_idle_2	1.0
zs\mutant\bdog_idle_3_54a14aaaf3	mutant	Amplified	monsters/dog	bdog_idle_3	1.0
zs\mutant\bdog_idle_4_ab734da4e5	mutant	Amplified	monsters/dog	bdog_idle_4	1.0
zs\mutant\flesh_eat_0_3d705778b2	mutant	Amplified	monsters/flesh	flesh_eat_0	1.0
zs\mutant\flesh_eat_1_e980e67e1a	mutant	Amplified	monsters/flesh	flesh_eat_1	1.0
zs\mutant\flesh_eat_2_882e61b88f	mutant	Amplified	monsters/flesh	flesh_eat_2	1.0
zs\mutant\flesh_eat_3_5c6a618a35	mutant	Amplified	monsters/flesh	flesh_eat_3	1.0
zs\mutant\flesh_eat_4_726b491601	mutant	Amplified	monsters/flesh	flesh_eat_4	1.0
zs\mutant\flesh_eat_5_63efb32d0e	mutant	Amplified	monsters/flesh	flesh_eat_5	1.0
zs\mutant\flesh_idle_0_9f7319e742	mutant	Amplified	monsters/flesh	flesh_idle_0	1.0
zs\mutant\flesh_idle_1_19f106f6f2	mutant	Amplified	monsters/flesh	flesh_idle_1	1.0
zs\mutant\flesh_idle_2_32bb380da4	mutant	Amplified	monsters/flesh	flesh_idle_2	1.0
zs\mutant\flesh_idle_3_b18ddc3384	mutant	Amplified	monsters/flesh	flesh_idle_3	1.0
zs\mutant\flesh_idle_4_35941598d6	mutant	Amplified	monsters/flesh	flesh_idle_4	1.0
zs\mutant\fracture_idle_0_ed08244a80	mutant	Amplified	monsters/fracture/bck	fracture_idle_0	1.0
zs\mutant\fracture_idle_1_e7ed1328b9	mutant	Amplified	monsters/fracture/bck	fracture_idle_1	1.0
zs\mutant\fracture_idle_2_a22086116c	mutant	Amplified	monsters/fracture/bck	fracture_idle_2	1.0
zs\mutant\fracture_eat_0_3736fc1e33	mutant	Amplified	monsters/fracture	fracture_eat_0	1.0
zs\mutant\zombie_eat_0_18e7a12c6e	mutant	NLC	monsters/zombie	zombie_eat_0	1.0
zs\mutant\fracture_eat_1_314baed063	mutant	Amplified	monsters/fracture	fracture_eat_1	1.0
zs\mutant\zombie_eat_1_3ea039a541	mutant	NLC	monsters/zombie	zombie_eat_1	1.0
zs\mutant\fracture_eat_2_2c89af8ac7	mutant	Amplified	monsters/fracture	fracture_eat_2	1.0
zs\mutant\fracture_eat_3_149529387d	mutant	Amplified	monsters/fracture	fracture_eat_3	1.0
zs\mutant\zombie_eat_3_be82f773e0	mutant	DeadAir	monsters/zombie	zombie_eat_3	1.0
zs\mutant\zombie_eat_3_d63aa20639	mutant	NLC	monsters/zombie	zombie_eat_3	1.0
zs\mutant\fracture_idle_0_75e1772d08	mutant	Amplified	monsters/fracture	fracture_idle_0	1.0
zs\mutant\fracture_idle_1_89a21f9732	mutant	Amplified	monsters/fracture	fracture_idle_1	1.0
zs\mutant\fracture_idle_2_d123cbd005	mutant	Amplified	monsters/fracture	fracture_idle_2	1.0
zs\mutant\idle_0_ab6b9c0e9f	mutant	Amplified	monsters/fracture	idle_0	1.0
zs\mutant\idle_1_877d6b86d9	mutant	Amplified	monsters/fracture	idle_1	1.0
zs\mutant\giant_breath_0_be0f5521ae	mutant	Amplified	monsters/giant	giant_breath_0	1.0
zs\mutant\giant_breath_1_cbe8e1931d	mutant	Amplified	monsters/giant	giant_breath_1	1.0
zs\mutant\giant_breath_2_eb7a245d2f	mutant	Amplified	monsters/giant	giant_breath_2	1.0
zs\mutant\giant_idle_0_9e9e7fb696	mutant	Amplified	monsters/giant	giant_idle_0	1.0
zs\mutant\giant_idle_1_0d59520058	mutant	Amplified	monsters/giant	giant_idle_1	1.0
zs\mutant\attack_0_a25217af9a	mutant	Amplified	monsters/lurker	attack_0	1.0
zs\mutant\attack_1_97b381b78f	mutant	Amplified	monsters/lurker	attack_1	1.0
zs\mutant\attack_hit_0_8f33baa311	mutant	Amplified	monsters/lurker	attack_hit_0	1.0
zs\mutant\attack_hit_1_e86f2cadae	mutant	Amplified	monsters/lurker	attack_hit_1	1.0
zs\mutant\attack_hit_2_fe63b0a27a	mutant	Amplified	monsters/lurker	attack_hit_2	1.0
zs\mutant\attack_hit_3_8f83e755ab	mutant	Amplified	monsters/lurker	attack_hit_3	1.0
zs\mutant\attack_hit_4_8a4afbecb2	mutant	Amplified	monsters/lurker	attack_hit_4	1.0
zs\mutant\attack_hit_5_f7fb1450c4	mutant	Amplified	monsters/lurker	attack_hit_5	1.0
zs\mutant\breath_0_2a4ea17286	mutant	Amplified	monsters/lurker	breath_0	1.0
zs\mutant\breath_1_132de4be78	mutant	Amplified	monsters/lurker	breath_1	1.0
zs\mutant\die_0_9d4e005aed	mutant	Amplified	monsters/lurker	die_0	1.0
zs\mutant\die_1_41988d185b	mutant	Amplified	monsters/lurker	die_1	1.0
zs\mutant\die_2_0a6b5a17ca	mutant	Amplified	monsters/lurker	die_2	1.0
zs\mutant\die_3_47b052784a	mutant	Amplified	monsters/lurker	die_3	1.0
